"sfid","nfid","zm"
795,"L-01-217","len"
796,"Q-06-327","qro"
797,"L-07-058","len"
798,"Q-09-977","qro"
799,"Q-08-683","qro"
800,"L-02-956","len"
801,"Q-06-957","qro"
802,"L-06-585","len"
803,"Q-05-280","qro"
804,"L-00-121","len"
805,"Q-02-252","qro"
806,"Q-06-548","qro"
807,"L-10-319","len"
808,"L-03-972","len"
809,NA,NA
810,"Q-03-914","qro"
811,"L-09-641","len"
812,"Q-00-058","qro"
813,"L-06-061","len"
814,"L-00-330","len"
815,"L-09-931","len"
816,"Q-02-946","qro"
817,"L-04-964","len"
818,"L-03-644","len"
819,"L-02-174","len"
820,"Q-03-239","qro"
821,"Q-00-604","qro"
822,"L-01-511","len"
823,"L-08-571","len"
824,"L-07-306","len"
825,"Q-10-571","qro"
826,"Q-06-501","qro"
827,"Q-09-159","qro"
828,"Q-09-793","qro"
829,"Q-02-438","qro"
830,"L-09-740","len"
831,"Q-10-377","qro"
832,"L-05-804","len"
833,"Q-09-799","qro"
834,"Q-07-344","qro"
835,"L-09-917","len"
836,"L-03-464","len"
837,"L-06-266","len"
838,"Q-05-185","qro"
839,"Q-05-441","qro"
840,"L-00-498","len"
841,"Q-08-286","qro"
842,"Q-02-637","qro"
843,"L-05-143","len"
844,"Q-05-639","qro"
845,"Q-00-170","qro"
846,"L-06-835","len"
847,"L-07-779","len"
848,"Q-02-584","qro"
849,"L-09-125","len"
850,"Q-01-062","qro"
851,"L-07-591","len"
852,"Q-09-819","qro"
853,"Q-04-707","qro"
854,"Q-06-674","qro"
855,"L-04-662","len"
856,"Q-07-475","qro"
857,"Q-06-182","qro"
858,"L-01-018","len"
859,"L-08-025","len"
860,"L-04-880","len"
861,"L-02-084","len"
862,"L-05-697","len"
863,"Q-08-586","qro"
864,"Q-09-615","qro"
865,"L-08-029","len"
866,"L-04-236","len"
867,"L-03-931","len"
868,"Q-02-335","qro"
869,"L-08-085","len"
870,"Q-01-378","qro"
871,"Q-02-024","qro"
872,"Q-04-328","qro"
873,"Q-06-601","qro"
874,"Q-09-878","qro"
875,"Q-05-786","qro"
876,"L-07-803","len"
877,"Q-05-273","qro"
878,"L-05-742","len"
879,"L-00-103","len"
880,"Q-01-945","qro"
881,"Q-02-147","qro"
882,"Q-06-933","qro"
883,"Q-00-626","qro"
884,"Q-08-477","qro"
885,"Q-07-722","qro"
886,"L-00-444","len"
887,"Q-01-891","qro"
888,"L-01-351","len"
889,"L-04-141","len"
890,"Q-06-360","qro"
891,"Q-05-555","qro"
892,"L-03-168","len"
893,"L-08-187","len"
894,"Q-10-752","qro"
895,"L-03-974","len"
896,"L-01-003","len"
897,"L-07-786","len"
898,"L-05-884","len"
899,"Q-05-572","qro"
900,"Q-10-076","qro"
901,"Q-07-806","qro"
902,"L-04-883","len"
903,"Q-10-136","qro"
904,"Q-05-156","qro"
905,"Q-07-990","qro"
906,"Q-01-639","qro"
907,"L-03-576","len"
908,"Q-09-913","qro"
909,"L-08-250","len"
910,"L-01-212","len"
911,"L-07-392","len"
912,"Q-09-480","qro"
913,"Q-01-295","qro"
914,"Q-03-163","qro"
915,"L-09-203","len"
916,"L-07-220","len"
917,"L-06-130","len"
918,"Q-04-021","qro"
919,"L-02-179","len"
920,"Q-01-937","qro"
921,"L-09-488","len"
922,"L-07-940","len"
923,"Q-02-622","qro"
924,"L-02-154","len"
925,"Q-04-024","qro"
926,"Q-05-246","qro"
927,"Q-05-291","qro"
928,"L-09-450","len"
929,"Q-04-867","qro"
930,"L-03-106","len"
931,"L-04-459","len"
932,NA,NA
933,"Q-03-745","qro"
934,"L-03-893","len"
935,"L-04-038","len"
936,"L-01-159","len"
937,"Q-08-975","qro"
938,"Q-00-826","qro"
939,"Q-06-041","qro"
940,"L-03-848","len"
941,"Q-04-590","qro"
942,"Q-02-353","qro"
943,"Q-10-830","qro"
944,"L-07-797","len"
945,"Q-02-716","qro"
946,"L-06-333","len"
947,"L-04-802","len"
948,"L-06-471","len"
949,"L-05-298","len"
950,"L-07-825","len"
951,"L-09-660","len"
952,"Q-04-576","qro"
953,"Q-08-904","qro"
954,"Q-05-713","qro"
955,"Q-07-006","qro"
956,"Q-03-086","qro"
957,"Q-10-844","qro"
958,"L-05-733","len"
959,"L-06-505","len"
960,"L-04-892","len"
961,"L-08-860","len"
962,"Q-00-009","qro"
963,"Q-07-523","qro"
964,"Q-03-230","qro"
965,"L-01-885","len"
966,"L-06-881","len"
967,"L-08-554","len"
968,"L-01-398","len"
969,"Q-08-156","qro"
970,"Q-06-480","qro"
971,"Q-09-902","qro"
972,"Q-04-252","qro"
973,"L-07-611","len"
974,"L-01-044","len"
975,"Q-11-237","qro"
976,"Q-07-069","qro"
977,"L-02-777","len"
978,"L-01-077","len"
979,"L-01-333","len"
980,"L-03-289","len"
981,"L-00-179","len"
982,"L-07-528","len"
983,"L-08-980","len"
984,"Q-08-797","qro"
985,"L-06-103","len"
986,"Q-06-437","qro"
987,"Q-04-902","qro"
988,"L-08-277","len"
989,"L-05-216","len"
990,"L-01-944","len"
991,"Q-02-696","qro"
992,"Q-10-891","qro"
993,"L-02-540","len"
994,"L-09-671","len"
995,"Q-05-444","qro"
996,"L-06-737","len"
997,"L-00-229","len"
998,"L-00-277","len"
999,"Q-00-817","qro"
1000,"L-09-085","len"
